human_text,human_text_len
"Our work actually develops methods to solve zero-shot and few-shot time series prediction. Zero-shot and few-shot respectively stand for cases where there are no or a few training data of target tasks. There is relatively scarce literature on zero-shot or low-shot time series prediction. Among related works, the existing prevalent method is transfer learning, which is also adopted by us. [18,11] pre-train an RNN-based model on time series from some auxiliary tasks to learn shared features embedding. [18] adopts a Memory-endowed Ordinal Regression Deep Neural Network (MOrdReD) as the backbone model. Its experiments show its proposed framework with transfer learning outperforms the auto regression model. Nevertheless, none of those past works has implemented transfer learning on time series prediction of pandemic transmission. In addition, [15] adapted N-BEATS model [17] to few-shot time series forecasting. The model can achieve satisfying performance on zero-shot and few-shot TS prediction. However, the approach proposed is essentially a variant of N-BEATS rather than a model-agnostic framework. Thus, some mainstream time series prediction models cannot be incorporated into this approach.",174
"In this section, we first give a definition of the time series prediction task that our project focuses on. Then in Sec. 2.2, we will introduce the design of our prediction system that is made up of prediction models and results visualization. Details of the implementation are explained in Sec. 2.3. We also conduct the test of our system and evaluate the performance of our prediction model in Sec. 2.4 and Sec. 2.5 respectively.",74
"Our trained time series forecasting models are the backend for the prediction function, which is taking the user uploaded data from frontend as input and return the required prediction result. We divided the states into five groups, and each group is assigned with one model. In the project, we compare the performance of RNN and LSTM models on each group and select the better one. The RNN model can remember the previous input using its internal memory, which gives it the capability of capturing the pattern of time series. Since our goal is to predict the outbreak’s development at its early stage, the RNN model’s capability draws our attention. However, the RNN model may encounter the vanishing gradient problem which can result in difficulties in updating the parameters of model. Therefore, we also employ LSTM in our experiment, a model commonly used in processing time series that can solve the vanishing gradient problem. The structures of RNN and LSTM models we use are shown in the following figure.",168
"We conduction data visualization to give a straightforward demonstration of prediction results. The purpose of visualization is to enable viewers to swiftly have a knowledge of the situation of the spread of the virus within a period. On the one hand, we design a map where cities are highlighted by orange dots shown in Fig. 3 and Fig. 4. The more cases in a city there are, the larger the dot is to indicate the severity of pandemic transmission. Users can choose what time period to show the corresponding pandemic situation. Users can put their mouse on the dot and the data in that region will be displayed (Fig. 5). Additionally, the number of total active cases will be calculated and displayed.",122
"On the other hand, user can select the specific region (Fig. 6) to see its current time series of accumulated active cases and our prediction for the next 14 days (shown in Fig. 7). Besides, once a specific region is selected, the map will automatically focus on that region. And the number of accumulated infected cases till the time point input by user will be computed and displayed as shown in Fig. 8.",73
"The dataset used by our project is obtained from GitHub open-source database which compile the data released by the New York Times (https://github.com/nytimes/covid[1]19-data). The dataset contains the 56 state-level time series data of daily cumulative number of cases starting from January 21, 2020, when the first cases is reported in Washington. Noticing the fact that no significance outbreak was founded in American Samoa and Northern Mariana Islands, these two states will not be included in out experiment.",78
"The goal of our project is to forecast the development of an outbreak within third and fourth weeks based on the first two weeks, therefore, we are only interested in the front portion instead of the whole time series. Notice that the dataset we obtained is start from the day when first cases is reported in the whole United States, while in different states the outbreak started at different time, which will result in a series of 0 exists before the start of outbreak. Therefore, in terms of sampling, for each state, we start from the first day when the number of cases reported was increasing in its next three days so that all samples contain data of the first outbreak in the state. The first 35 days start from the start of outbreak in each states are used, and they are divided into 8 samples where each sample contains 14 days’ data for input and the next 14 days’ data for output comparison. The dataset we obtained records the cumulative number of cases, however, during the early experiment we noticed that when using daily cumulative number of cases for training, the prediction results for next 14 days may give the decrease of cumulative number of cases during some periods, which is impossible at the early stage of pandemic. Therefore, instead of using the daily cumulative number of cases directly, we use the number of daily reported new cases in our project.",242
"We also notice that the outbreak in different states may have extremely different pattern of development. As shown in the figure 9, the developing trend of COVID-19 outbreak in Alaska, California, and South Carolina are totally different, and these different patterns can’t be handled well by a single model. But we also notice that there exist some states sharing relatively similar patterns. For example, from figure 10 we can find that a relatively similar developing pattern exists in Indiana, Massachusetts, and Illinois. Therefore, we divide the states into different groups where the states in the same group have the similar development patterns. The dividing process will be introduced in the next section.",112
"As mentioned in previous section, we need to divide the states into groups such that states in the same group have similar development patterns for outbreak. Notice that the development pattern here is in fact the feature of time series that will be captured by time series forecasting models during the training process, and the model will be more likely capture the features exists in most samples, which means when we train a model on multiple regions, the model will more likely to learn the developing patterns shared by most regions, and therefore the better developing pattern of a region can be simulated by the model, the more regions does this region share the same pattern. Utilizing this fact, we first train our LSTM model with data from different states, then we evaluate how the model can simulated these states and remove the states that the model can’t simulate well. Assuming the pattern 1 represents the pattern that is shared by some states which we are going to put into a same group, those states that can’t be simulated well definitely contain different patterns other than pattern 1, but among the states that can be simulated well, there might exist states that also sharing some features with both pattern 1 and other patterns, which means these states should not be put into the groups. Therefore, we should train the model on the states left again and remove those states can’t be simulated well, and the process is repeated until all states left can be simulated well by the same LSTM model, which means all these states are sharing some similar developing patterns of outbreak, and then a group can be form using these states. To evaluate how well the model can simulate the developing patterns, we use the Root Relative Squared Error (RRSE) between the prediction result and the ground truth. The formulation of RRSE is shown below.",318
"We have formed 4 groups of states, and there are 22 states left which can’t be divided into any groups. The following tables show the information of each group. Notice that at this stage we are only splitting the states into groups instead of testing the models, the RRSE here is obtained by evaluating the prediction result on training dataset which is all states in each group.",67
"We apply LSTM model and RNN models for our experiment. For the four groups sharing the similar patterns, we apply the models trained with data from the states in the group. And for the rest of the states, considering the fact that these groups can’t be divided into any groups is because they don’t share a similar developing pattern, therefore for these states we train the model with data from all 54 states then applied to these states.",78
"Our web UI is built based on an open-source library Streamlit. Streamlit enables programmers to build an interactive web with python alone. Conventionally, programming for web uses html and JavaScript. But in that way, codes are usually very long and hard to construct. Therefore, we leverage open-source library like Streamlit that wraps up foundational web functions and offer convenient application programming interfaces (APIs).",63
"There are mainly two main tasks to handle, that is a real-time map reflecting the pandemic situation and collaboration with backend prediction model and data. For the first task, we utilize the Google geocoding API to obtain the latitude and longitude of a certain place. Instead of requesting the service of Google Maps platform at running time, we obtain all geographical data needed in advance and store them into a local file. Then our backend can directly read data locally. In that way, a great amount of processing time will be saved at running time and our web UI will be more responsive. Then given the latitudes and longitudes of cities, csv files recording pandemic situation of each city will be read to extract daily infected cases. Then we can have a data frame storing the name of a city, its geographical location and corresponding time series of infected cases. Based on the processed data, we take advantage of a library called pydeck to generate a map which marks each city with orange dots. We customize the map by programming the size of dots to change along with the number of infected cases in that city. Then we can use pre-defined function of Streamlit to display the map on the webpage.",211
"For the second task, after users input the time period and select region of interest, corresponding data will be fetched and calculated. For instance, if users choose ‘New York’, the geographical position of New York and corresponding data of active cases will be extracted from the csv files. Based on those data, the map will then be programmed to zoom in and focus on the location of New York. On the other hand, under the framework of Tensorflow, our model will load trained weight file. The past 14-day time series of New York will be input into the model to get prediction result. Graphs of predicted time series will then be drawn with plotly, a graphing library.",117
"For the rest of 22 states, due to the long execution time, instead of using cross validation, we select 5 states from these 22 states for testing. The five testing states are Alaska, Hawaii, Mississippi, Ohio, and South Carolina. As mentioned in section 2.3.3, for these 22 states we are applying the model trained by data from all 54 states for our application. Therefore, during the testing process, we use the rest 49 states other than the 5 testing states for training, and we evaluate the performance of the trained model on the 5 testing states.",96
The following tables shows the performance of LSTM and RNN model on the four groups and the rest 22 states. The visualization result of comparison between prediction result and ground truth in 8 states is shown in the figure 11.,40
"Based on the prediction result, on the four groups of states, the LSTM model provides a better performance in terms of RRSE. And only in Group 3 the performance of LSTM model in terms of RMSE is worse than the RNN model. For the rest of 22 states, the RNN model can obtain a better performance both on RMSE and RRSE, therefore, we select the LSTM model for the four groups and the RNN model for the rest of 22 states in our application.",84
"To test the effectiveness of models, we need to conduct multiple experiments and take the average of results to compare it with the performance of the baseline or existing models. Significance test may be needed when the difference of performance of two models is small.",45
"We first test our input section with mainly three kinds of input, that is lower-bound inputs, upper-bound inputs, and inputs within the bounds.",23
Lower-bound cases: We test with negative number first and our web will identify this error case and return message to ask advice users to modify their inputs. Figure 13 shows an instance. We test our web with 20 randomly generated negative numbers ranging from –1 to –10000. And there are no error cases triggered.,54
"When doing prediction for a certain region, the input number is required to be larger than 14. Because our model is trained to predict the future time series with past 14-day data points. In that case, we test our web with input from 0 to 13. And all cases are handled by returning messages to advice users to update their inputs (see Fig. 14). However, if no regions are selected to conduct prediction, our web is programmed to show the content normally.",82
"Upper-bound cases: If the input number for period is larger than the length of available data, the backend will access to some non-existing data, thus triggering errors. And our cases should handle this case. We test our web with ten numbers that are larger than 400. Our web can handle the bad inputs by returning messages to let users make inputs smaller.",62
"Inputs within the bounds: The input number should be an integer. Our codes round non-integer inputs to the nearest positive integers. For cases that non-integer inputs cannot be rounded successfully, and inputs are not even numerical, messages will be printed to tell users to input rational integers. We test our web with five symbols (e.g., ‘/’, ‘>’, ‘).",58
"When a specific region is selected and the button ‘show’ is clicked, the main should show the time series of that selected region. The map will be adjusted to zoom in and focus on the region chosen. By default, ‘All’ is shown in the selector and the map zooms out shown in Fig. 18. In that case where no region is specified, we test the web by directing clicking button ‘show’. Our web does not report errors and still displays the default page. We then test our web by selecting each available region. And our web UI can show contents needed normally. The map can automatically adjust itself to focus on the corresponding selected region.",115
We also test the web by switching regions. The region is switched from a specified one to ‘All’. Or the region is switched from one specified place to another. Our web functions correctly in all cases.,36
We repeated the tests above under multiple cases where different time period is input by users. There were no errors that had happened.,23
