wiki_intro,wiki_intro_len
"Somewhere Somehow is the fourth studio album by American rock band We the Kings. It is the first album without bassist Drew Thomsen, who was replaced by Charles Trippy. Keyboardist Coley O'Toole was also added into the lineup. After parting ways with S-Curve Records, the group released the single ""Just Keep Breathing"" in April 2013. Over the next couple of months, the band released ""Find You There"" and ""Any Other Way"" as singles before going on the Summer Fest tour. In late September, the band started a campaign to crowd-fund their next album; it eventually received over $149,000 from 2,309 people. The band recorded in Los Angeles, California, working with Blake Healy, Steve Shebby and David Immerman, all of whom co-wrote and produced songs on the album. The album was announced for release with the title Vitam Regum, before it was changed to Somewhere Somehow a week later. ""Art of War"" was released as a single in early December. Somewhere Somehow was released on December 16 through Ozone Entertainment. Following a U.S. tour in March 2014, the group toured Japan and Australia, before joining Warped Tour. A music video was released for ""That Feeling"" in mid-January 2015. Somewhere Somehow peaked at number 44 on the Billboard 200, and reached the top 10 on several other Billboard charts. It also charted in the top 20 on several UK charts. Despite receiving a mixed critical reception, Clark regarded the album as ""a huge success!",242
"The A5120 is an A-class road in Bedfordshire, linking the conjoined towns of Ampthill and Flitwick to Dunstable and, via the M1 motorway, Luton and London. It connects with the M1 at junction 12 in close proximity to the Toddington services. On its route from Ampthill to Dunstable, the A5120 serves Westoning, Harlington, Toddington and Tebworth. Unusually for an A-road, it does not meet another A-road at any point between its start on the A507 and its end on the A5. This would change if the A505 Dunstable North Bypass were to be built, however. When the A5120 meets the A5 in Dunstable, the latter is multiplexed with the A505 road. The road passes through the Houghton Regis area of Dunstable as it approaches the town from the north. The road actually continues past the A5, without its A5120 number, as an unclassified road, into the Beecroft industrial estate, where it meets the B489 road from Ivinghoe.",157
"FORGE is a United States-based nonprofit organization that works with displaced communities in Africa. FORGE was founded by Stanford University graduate Kjerstin Erickson at the age of 20 in 2003. Since its founding, FORGE has implemented over seventy community development projects that have served more than 70,000 refugees in four refugee camps in Zambia and Botswana. An official Operating Partner of the United Nations refugee agency (UNHCR), FORGE works in Zambia, hand-in-hand with refugees from the Democratic Republic of Congo, Angola, Rwanda, Burundi, and Sudan. FORGE’s Mission FORGE aims to build upon the capacity of African refugees to cultivate empowered communities and to create the conditions for peace and prosperity in their countries. FORGE believes that individuals affected by war are a key factor to breaking the cycle of war and poverty in Africa. Instead of providing relief work for refugees, FORGE aims at providing education and training to refugees in order to empower them with greater economic and leadership capacity. There are five main project areas that FORGE is now working on: Education, Economic Development, Health Education, Women’s Empowerment and Community Enrichment.",184
"Jai Bhim  is a 2021 Indian Tamil-language legal drama film directed by T. J. Gnanavel and produced by Jyothika  and Suriya under 2D Entertainment. The film stars Suriya and Lijomol Jose with Manikandan, Rajisha Vijayan, Prakash Raj, Rao Ramesh and others in supporting roles. The film deals with the subject of police bias and state violence against a marginalised community. Based on a true incident in 1995, which involves a case fought by Justice K. Chandru, it revolves around the lives of Sengeni and Rajakannu, a couple from the Irular tribe. Rajakannu was arrested by the police, and was later missing from the police station. Sengeni seeks the help of an advocate Chandru to seek justice for her husband. Following an official announcement in April 2021, the film began principal photography that month, with many sequences being shot in Chennai and Kodaikanal. Production was halted due to the COVID-19 pandemic and filming resumed in July 2021. It was completed that September. The film's cinematography and editing were handled by S. R. Kathir and Philomin Raj respectively. The music and film score is composed by Sean Roldan. The film's title is a reference to the slogan used by followers of B. R. Ambedkar.",204
"The Central Connecticut Conference (CCC) is an interscholastic athletic conference in the Greater Hartford region of Connecticut, United States. History In July 1999 founding member Enfield High school would leave the CCC Conference to join the NCCC. E.O. Smith applied to join the CCC Conference in 1999 due to increasing enrollment, E.O. Smith would replace the departing Enfield high school. The Central Connecticut Conference or (CCC) went through major expansion in 2009 with a total of 32 schools participating in the conference. In the 2015–16 school year, Avon High School joined the CCC. This made the conference change back to three divisions of eleven teams, with a blue and a white section in each division, with one having five teams and the other having six. Avon High School moved from the NCCC, where they were the largest school. Some of their competitors were not large enough to have freshman and/or junior varsity teams for Avon to compete against, leading to their move. Avon High school would be replacing Fermi High School which closed its doors at the end of the 2016 academic year, Fermi would merge all of its sports with Enfield High school becoming one school. Also in 2016 Weaver High School a founding member of the CCC Conference in 1984, announced they would be leaving the conference at the end of the 2016-2017 academic year due to low student enrollment. More expansion continued in 2018 when Lewis Mills high school voted to leave the Berkshire league and join the CCC conference beginning conference play in 2019. Lewis Mills would be replacing Rockville high school who left to join the NCCC Conference for the 2017-2018 season.",276
"The Borderland series of urban fantasy novels and stories were created for teenage readers by author Terri Windling. Most of the series is set in Bordertown, a dystopian city near the border between ""the Elflands"" and ""The World"". The series consists of five anthologies and three novels. The series has spawned fan groups, gaming groups, costumed events (such as the Borderzone parties in Los Angeles), and was discussed in The Fence and the River: Culture and Politics at the US-Mexico Border by Claire F. Fox. Bordertown is the name of the shared universe created by Terri Windling, and a fictional place within that universe. The premise of the Borderland books is that the ""Elflands"" - a realm of magic populated by post-Tolkien elves have ""returned"" to ""The World"". The region of juxtaposition of the Elflands and the World includes Bordertown or ""B-Town"", and the ""Borderlands"" which lie between Bordertown and the World.  In the liminal environment of Bordertown and its environs, neither magic nor technology functions ""normally"", and unpredictable combinations of the two may emerge.",176
"Xian  refers to a person or similar entity having a long life or being immortal. The concept of xian has different implications dependent upon the specific context: philosophical, religious, mythological, or other symbolic or cultural occurrence. The Chinese word xian is translatable into English as:
 (in Daoist philosophy and cosmology) spiritually immortal; transcendent human; celestial being 
 (in Daoist religion and pantheon) physically immortal; immortal person; an immortal; saint
 (in Chinese alchemy) alchemist; one who seeks the elixir of life; one who practices longevity techniques
 (or by extension) alchemical, dietary, or qigong methods for attaining immortality
 (in Chinese mythology) wizard; magician; shaman; sorcerer
  (in popular Chinese literature) genie; elf, fairy; nymph;  (xian jing is fairyland, faery)
 (based on the folk etymology for the character , a compound of the characters for person and mountain) sage living high in the mountains; mountain-man; hermit; recluse
 (as a metaphorical modifier) immortal [talent]; accomplished person; celestial [beauty]; marvelous; extraordinary 
(In new-age conception) seeker who takes refuge in immortality (longevity for the realization of divinity); transcended person [self] recoded by the ""higher self""; divine soul; fully established being Xian semantically developed from meaning spiritual ""immortality; enlightenment"", to physical ""immortality; longevity"" involving methods such as alchemy, breath meditation, and tai chi chuan, and eventually to legendary and figurative ""immortality"".",216
"Death of Cook is the name of several paintings depicting the 1779 death of the first European visitor to the Hawaiian Islands, Captain James Cook at Kealakekua Bay. Most of these paintings seem to go back to an original by John Cleveley the Younger, painted in 1784, although other versions, like that of John Webber, stood model for later copies too. Such artworks were reproduced in paint and engraving over the course of modern world history. The much more famous reproductions, like the one at the Honolulu Museum of Art (allegedly based on the Cleveley version), often depicted Cook as a peacemaker trying to stop the fighting between his sailors and the native Hawaiians that they had challenged in combat. However, in 2004, the original Cleveley painting was discovered in a private collection belonging to a family since 1851. James, Cleveley's brother was a member of Cook's crew, and the painting is said to concur with his drawings and eyewitness accounts. The original depicted Cook involved in hand-to-hand combat with the native Hawaiians. The discovery of the original painting has not changed the way most historians view Cook's relationship with the Hawaiians, as during his last voyage, Cook was reported by his contemporaries to have become irrationally violent. The original watercolour painting, together with three others in a series by Cleveley, was put up for auction by Christie's auction house in London in 2004. The lot of four paintings sold for £318,850 (USD 572,655).",251
"The history of Madagascar is distinguished clearly by the early isolation of the landmass from the ancient supercontinent containing Africa and India, and by the island's late colonization by human settlers from the Sunda islands (Malay Archipelago) and from East Africa. 
These two factors facilitated the evolution and survival of thousands of endemic plant and animal species, some of which have gone extinct or are currently threatened with extinction due to the government not allocating resources to help the growing population, causing many people to resort to harmful environmental practices as a way of survival.
Trade in the Indian Ocean at the time of first colonization of Madagascar was dominated by large ships, called Djong, coming from Java and Sumatra. Over the past two thousand years the island has received waves of settlers of diverse origins including Austronesian, Bantu, Arab, South Asian, Chinese and European. The majority of the population of Madagascar today is a mixture of Austronesian and Bantu settlers. Despite popular belief, there has been no genetic input from Arabs or Indians, although one tribe, the Antemoro, claims descent from Somali Arab traders. European and Middle eastern paternal ancestry is also present.",193
"The Sony α NEX-7 is a digital camera announced 24 August 2011 by Sony. It is a mirrorless interchangeable lens camera and as such inherits a smaller body form factor than a traditional digital single-lens reflex camera, while still retaining the sensor size and features of an APS-C-sized model. It is targeted at experienced users, enthusiasts and professionals. It is replaced by the ILCE-6000 (α6000). Features Being targeted at experienced users, enthusiasts and professionals, the Sony NEX-7 offers features relevant to them. Mainly, it integrates a 24.3 megapixels APS-C sensor, videos 1920×1080p at 60 frame/s in AVCHD 2 and 10 fps stills shooting. It's built in a robust magnesium alloy and incorporates an XGA OLED electronic viewfinder with 2.4 million dots resolution. The camera's specifications are as follows: 24 megapixel APS-C CMOS image sensor ISO 100-16000 2.4 million dot OLED Electronic View Finder (EVF) Electronic first-curtain shutter (for faster response time) 1080p 60 HD video recording with built-in mic (stereo) Rear screen with tilt feature Built-in flash and alpha hotshoe remote control receiver (infra-red) External mic input",164
"Israel (Yisrol) Grodner (; ca. 1848 – 1887) was one of the founding performers in Yiddish theater. A Lithuanian Jew who moved at the age of 16 to Berdichev, Ukraine, Russian Empire, the Broder singer and actor was in Iaşi, Romania in 1876 when Abraham Goldfaden recruited him as the first actor for what became the first professional Yiddish theater troupe. Jacob Adler remarks that as the only Lithuanian Jew in the early years of Yiddish theater, he deliberately spoke a different dialect of Yiddish on stage so that it would blend better with the other actors. (The Yiddish of Lithuania differed from that of Ukraine and Romania.) Although his early performances with Goldfaden are usually considered the start of professional Yiddish-language theater, as a Broder singer Grodner was already something of an actor, and he had already participated in an 1873 concert in Odessa, Ukraine in which he and other Broder singers sang songs (including some of Goldfaden's) and improvised comic material between songs that was very similar to Goldfaden's early, highly improvised, comic musical plays. Actor Jacob Adler, already a big fan of the highly regarded Russian language theater in Odessa at that time, and who saw Grodner perform in taverns and restaurants, indicates in his memoir the strong impression Grodner made on him for how well he portrayed his characters. Lulla Rosenfeld writes that Grodner was known in Odessa as ""Srolikl Papirosnik"" (from papiros, cigarette) because he always had a cigarette dangling from his lip.",248
"Cimarron is a 1931 pre-Code epic Western film directed by Wesley Ruggles, starring Richard Dix and Irene Dunne, and featuring Estelle Taylor and Roscoe Ates. The Oscar-winning script was written by Howard Estabrook based on the 1930 Edna Ferber novel Cimarron. It would be RKO's most expensive production up to that date, and its winning of the top Oscar for Best Production would be only one of two ever won by that studio. It is also one of three Westerns to ever win the top honor at the Academy Awards, the others being Dances with Wolves (1990) and Unforgiven (1992). Epic in scope, spanning forty years from 1889 to 1929, it was a critical success, although it did not recoup its production costs during its initial run in 1931. Plot The Oklahoma land rush of 1889 prompts thousands to travel to the Oklahoma Territory to grab free government land; Yancey Cravat (Richard Dix) and his young bride, Sabra (Irene Dunne) cross the border from Kansas to join the throngs. In the ensuing race, Yancey is outwitted by a young prostitute, Dixie Lee (Estelle Taylor), who takes the prime piece of real estate, the Bear Creek claim, that Yancey had targeted for himself.",201
"Melvin Henry Roberts (January 18, 1943 – September 1, 2007) was an American professional baseball player, coach and manager. Primarily an outfielder during his playing days, all spent in the minor leagues, Roberts spent four seasons (1992–95) in Major League Baseball as the first-base coach of the Philadelphia Phillies, including service on the Phillies' 1993 National League pennant-winning team. Roberts was born in Abington Township, Montgomery County, Pennsylvania, graduated from Abington Senior High School, and attended both Temple University and Spartanburg Technical College. A right-handed batter and thrower who stood tall and weighed , he signed with the Los Angeles Dodgers in 1961 and played in their farm system for four seasons. After spending 1965 out of pro baseball, Roberts signed with the Phillies' system, playing for the 1966 Spartanburg Phillies as a teammate of Larry Bowa and Denny Doyle on a club that won a Western Carolinas League record 25 consecutive games and the league championship. With lengthy service as a player, coach and manager, Roberts became a longtime resident of Spartanburg, South Carolina. In 781 games played, Roberts batted .234 with 588 hits during a ten-season minor league playing career.",193
"Love Season is the debut studio album by jazz pianist Alex Bugnon. It was released in 1988 through Orpheus Records. Recording sessions took place at Presence Studios in East Haven, Connecticut, at Unique Studios, 39th Street Music Studio and Rawlston Recording Studio in New York City. The production was handled by Rahni Song, Poogie Bell and Victor Bailey with executive producer Beau Huggins. The album spawned three singles: ""Piano in the Dark"", ""Going Out"" and ""Yearning for Your Love"". The album peaked at number 127 on the Billboard 200 and at number 34 on the Top R&B/Hip-Hop Albums chart in the United States. Its singles ""Going Out"" and ""Yearning for Your Love"" made it to #83 and #85 respectively on the Hot R&B/Hip-Hop Songs chart. Alex Bugnon received a nomination for Soul Train Music Award for Best Jazz Album in 1990 Soul Train Music Awards, but lost to Quincy Jones' Back on the Block.",154
"Lidia Karen Zapata Campos (born 28 December 1982) is a Peruvian chess player who hold the FIDE title of Woman International Master (WIM, 1999). She is a four-time winner of the Peruvian Women's Chess Championship (2000, 2002, 2003, 2004). Biography In 1999, in Santiago won the Pan American Girl's Chess Championship in the age group U20, and in 2000 in Bento Gonçalves won the Pan American Girl's Chess Championship in the age group U18. In 2002, in La Paz she was the second in the Pan American Girl's Chess Championship in the age group U20. In August 2005, she was second in the Pan American Women's Chess Championship, only in a tie-break after losing to Argentinean chess player Claudia Amura. She won four times in the Peruvian Women's Chess Championships: 2000, 2002, 2003 and 2004. In October 2005, after winning the FIDE South America zone tournament, she qualified for the Women's World Chess Championship. In 2006, in Yekaterinburg she participated in the Women's World Chess Championship, where she defeated Kateryna Lagno in the first round, but lost in the second round to Svetlana Matveeva. After repeated won the FIDE South America zone tournament in 2007 in Trujillo, where she surpassed her compatriot Deysi Cori, was selected at Women's World Chess Championship in Nalchik, but refused to participate, and her rival in the first round Antoaneta Stefanova went to the second round without a fight. Played for Peru at three Women's Chess Olympiads (2002—2006). In 1999, she was awarded the FIDE International Woman International Master (WIM) title.",255
"On September 13, 2020, most of the original cast members of the 1987 film The Princess Bride took part in a virtual live dramatic reading of the film script to support Wisconsin Democrats. The returning cast included Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon, Christopher Guest, Wallace Shawn, Billy Crystal, and Carol Kane, with additional performances by Rob Reiner as the Grandfather, Josh Gad as Fezzik, Eric Idle as the Impressive Clergyman, Whoopi Goldberg as the Ancient Booer and the Mother, and Jason Reitman as the narrator, among others. Norman Lear joined the Q&A session at the end, which was hosted by Patton Oswalt. Cast members promoted the event beforehand using the hashtags ""#PrincessBrideReunion"" and ""#DumpTrumperdinck."" More than 110,000 viewers donated a dollar or more to Wisconsin Democrats to view the livestream, which raised $4.25 million and received widely positive reviews, with special praise for Patinkin's performance. Origin of event The idea to recruit Princess Bride cast members for a fundraiser was inspired by a benefit event organized by Wisconsin Democrats that reunited cast members of The West Wing. According to the Hollywood Reporter, Cary Elwes (Westley in the film) approached a friend who knew Ben Wikler, chair of the Democratic Party of Wisconsin to ask if he could help raise money for the battleground state. Wisconsin Democrats and others promoted the virtual script reading with digital ads and social media. Elwes began teasing the event in his Twitter feed in early September 2020, announcing it openly on September 4:#Inconceivable! I’m excited to announce a virtual #PrincessBrideReunion! Chip in any amount at the link & get an invite to this special event on Sun. Sept. 13th with myself, @RealRobinWright, @PatinkinMandy, @robreiner & many more! #DumpTrumperdinck.",285
"Hatanpää is a district in Tampere, Finland, located in the southern part of the city center on the shores of Lake Pyhäjärvi. Hatanpää is actually a peninsula that protrudes towards the lake, leaving the waters of Viinikanlahti Bay to the north and Vihilahti Bay to the south. The area is named after Hatanpää Manor, whose land from Härmälä to Sääksjärvi and Nekala was bought for the city in 1913. Administratively, the area has belonged to the city since 1920. In 2014, the population of the area was measured as 2,686 inhabitants. Hatanpää is a well-known district because of its many significant sites, including Hatanpää Manor, Hatanpää Park and Hatanpää Arboretum, primary school and high school, and TAYS' second large hospital area, Hatanpää Hospital, as well as a large number of car dealerships and industry. The busy Hatanpää Highway (Hatanpään valtatie), which branches off from Hämeenkatu, leads directly to the area, sideways to the bus station and Viinikanlahti, and strongly divides it in two. On the east side of the road there are industry and car shops, on the west side and closer to the center there are large office buildings and further south the residential area bordering Hatanpää Park. Several IT companies are located in former houses of Nokia in Hatanpää and in former Sarvis properties. In the vicinity of the office buildings is the Viinikka's wastewater treatment plant, which causes local odor nuisances. However, odor nuisances do not affect residential and park areas.",245
"WMML (1230 AM) is a radio station broadcasting a sports format. Licensed to Glens Falls, New York, United States, the station serves the Glens Falls area.  Established in 1959 as WSET, the station is owned by Pamal Broadcasting, through licensee 6 Johnson Road Licenses, Inc., and features programming from Fox Sports Radio. History
What is now WMML began operations in 1959 as WSET, programming a middle of the road format; for a time, the station studios were located in the Queensbury Hotel in Glens Falls. In 1965, WSET changed its call letters to WBZA; the new call letters arose from the station owner's respect for WBZ in Boston. At the time, the station broadcast at 1410 AM with a ""daytime only"" license from the Federal Communications Commission (FCC).  At sunset each day, the station would leave the air until the next day at 6 a.m. In 1971, the format was changed to Top 40. During the later 1970s, WBZA evolved to more of an adult contemporary format, and it eventually changed frequencies to 1230 in late 1982. WBZA flipped formats in 1986 to nostalgia, calling itself ""Real Music"". The WBZA call letters were transferred 1410 AM (which had returned to the air in 1988 under a new license as WSTL) in 1998; at that time, the station changed its call letters to WMML and took on a sports format.",230
"In October, 1982, three members of an anarchist urban guerrilla group known as Direct Action acted upon ""their wish to end the arms race"" and filled a stolen pick-up truck with  of dynamite and drove from Vancouver to Toronto, Canada planting the bomb outside Litton Industries, a manufacturer of American cruise missile components many feared would increase the risk of nuclear war. Although the militants had phoned to evacuate the building, the bomb was accidentally detonated several minutes before its announced deadline, injuring several bomb squad police officers and civilians in the vicinity. Litton Industries' role
Litton Industries was conceived as a radio-engineering firm in 1934, but was purchased by Charles Bates Thornton, a Pentagon official with ""all the right connections in the government and military"", in 1956. Litton transformed into a military producer, building entire naval ships in their private shipyards and installing their privately produced equipment including communications and navigation systems.",153
"The Denver Guardian was a fake news website, known for a popular untrue story about Hillary Clinton posted on the site on November 5, 2016, three days before the 2016 U.S. presidential election, which Clinton lost. The story, entitled ""FBI Agent Suspected In Hillary Email Leaks Found Dead In Apparent Murder-Suicide"", alleged that an FBI agent investigating Clinton had been found dead in a Maryland house fire. 
The story was shared on Facebook (a news source for ""44 percent of U.S. adults"") more than half a million times and earned more than 15.5 million impressions. According to a Denver Post newspaper story on the Denver Guardian and the Clinton article,
While ""The Guardian"" claimed to be Denver's ""oldest"" news source, the site's domain was first registered only a few months before in July 2016;
the story on Clinton appeared to be the only article on the website (it was ""the only story showing up under the ""News"" section and all other sections are turning up errors""); 
while the story quoted a ""Walkerville Police Chief Pat Frederick"", Walkersville, Maryland, does not have a police department; but have Five Resident State Police officers  And the address the site listed for ""The Guardian"" newsroom was actually a parking lot. The site was registered anonymously and built using WordPress, but an investigator employed by National Public Radio found the site was operated by Jestin Coler, the founder, and CEO of Disinfomedia and owner of several other faux news sites.  As of March 27, 2017, the site still existed but had no news or any other content. As of January 28, 2018, the site does not exist anymore. When typing the address into a browser, it redirects to ""jestincoler.com"", a website owned by Coler himself, containing information about himself, his work, his 'achievements', and how to contact him. He openly admits doing morally questionable, but legal things, such as writing and publishing fake news articles for payment.",322
